A,B,C,D,E
55052871|Timpson Locksmiths Ltd|02100170|318209|176328|1|200002931807|osgb1000027219242|4|5801856|1|16.8|6a|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AT|Caerdydd - Cardiff|02920232614|www.timpsonlocksmiths.co.uk|Timpson|||118 Information|2024-12-01,,,
111220921|Timpson Locksmiths Ltd|02100170|323543.9|181189.8|1|10023542527|osgb1000027380278|7|5800535|1|133.7|Tescos St Mellons District Shopping Centre|Crickhowell Road|Trowbridge, Cardiff|South Glamorgan|CF3 0EF|Caerdydd - Cardiff|02920363542|www.timpsonlocksmiths.co.uk|Timpson|||118 Information|2024-12-01,,,
162688517|Hafner Baker|02100165|318977.8|175967.9|1|10090487101|osgb1000027216542|6|5802024|1|25.7|Capital Law Llp Capital Building, Tyndall Street|Butetown|Cardiff|South Glamorgan|CF10 4AZ|Caerdydd - Cardiff|08006893496|||||118 Information|2024-12-01,,,
108290266|Tracing Direct|02100166|318667|176032|1|10008903251|osgb1000002487343973|7|5800260|1|35.1|266 Altolusso|Bute Terrace|Cathays, Cardiff|South Glamorgan|CF10 2FH|Caerdydd - Cardiff|08452573131|www.tracingdirect.co.uk||||118 Information|2024-12-01,,,
159597667|Timpson Locksmiths Ltd|02100170|317787|173655|1|200001097009|osgb1000027167918|8|5800724|1|78.1|Asda Superstore Cardiff Bay Retail Park|Ferry Road|Grangetown, Cardiff|South Glamorgan|CF11 0JR|Caerdydd - Cardiff|02920231101|www.timpsonlocksmiths.co.uk|Timpson|||118 Information|2024-12-01,,,
125718095|Cardiff Mobile Locksmith|02100170|317694|178641|1|100100893355|osgb1000027179144|5|5802128|1|15.1|88|Whitchurch Road|Gabalfa, Cardiff|South Glamorgan|CF14 3LY|Caerdydd - Cardiff|07961750242|||||118 Information|2024-12-01,,,
127731329|James Cardiff Locksmith|02100170|314140|176601|1|100100097884|osgb1000027033539|4|5801562|1|19.1|26|Pendine Road|Ely, Cardiff|South Glamorgan|CF5 4BP|Caerdydd - Cardiff|07967725135|www.jameslocksmithcardiff.com||||118 Information|2024-12-01,,,
168970791|Express Locks Cardiff|02100170|321091|178327|1|200001841052|osgb5000005105787316|3|5802924|2|15.3|35 Connies House|Rhymney River Bridge Road|Cardiff|South Glamorgan|CF23 9AF|Caerdydd - Cardiff|07747877483|||||118 Information|2024-12-01,,,,
127730191|Green Willow Funerals Limited|02100165|316771|179981|1|100101041719|osgb1000027129161|3|5800503|1|44||Coronation Road|Heath, Cardiff|South Glamorgan|CF14 4QY|Caerdydd - Cardiff|02920524200|www.greenwillowfunerals.com|Green Willow Funerals|||118 Information|2024-12-01,,,
159597808|Timpson Locksmiths Ltd|02100170|313738.7|181413|1|10090489355|osgb1000027018005|4|5801265|1|35.9||Longwood Drive|Whitchurch, Cardiff|South Glamorgan|CF14 7EW|Caerdydd - Cardiff|02920628872|www.timpsonlocksmiths.co.uk|Timpson|||118 Information|2024-12-01,,,
162682222|A J Stone & W Ham|02100165|317317|176446|1|100100891248|osgb1000027176047|5|5801446|1|15.4|1a, Neville Street|Riverside|Cardiff|South Glamorgan|CF11 6LP|Caerdydd - Cardiff|02920230091|www.dignityfunerals.co.uk|Dignity Funerals|||118 Information|2024-12-01,,,
123154791|Timpson Locksmiths Ltd|02100170|316374|178393|1|10023550587|osgb1000027128707|6|5800696|1|128.9|Timpson Tesco Extra|Excelsior Road|Gabalfa, Cardiff|South Glamorgan|CF14 3AT|Caerdydd - Cardiff|02920618055|www.timpsonlocksmiths.co.uk|Timpson|||118 Information|2024-12-01,,,
180831287|Curley Locks Locksmiths|02100170|314495|177209|1|10002517414|osgb1000027036864|6|5801464|1|48.7|Unit 17 Fairwater Workshops|Norbury Road|Fairwater, Cardiff|South Glamorgan|CF5 3BG|Caerdydd - Cardiff|02921999247|www.curleylocks.co.uk||||118 Information|2024-12-01,,,
54834136|Keymaster Security|02100170|319247|177988|1|100100897805|osgb1000027256922|4|5804703|1|15.6|27|Pen-y-Lan Road|Roath, Cardiff|South Glamorgan|CF24 3PG|Caerdydd - Cardiff|02920486878|www.keymastersecurity.co.uk||||118 Information|2024-12-01,,,
125881327|Crwys Key Cutting|02100170|318207|178137|1|100100898268|osgb1000027228128|4|5800547|1|22.4|96|Crwys Road|Cathays, Cardiff|South Glamorgan|CF24 4NQ|Caerdydd - Cardiff|02920344799|||||118 Information|2024-12-01,,,
127719486|Timpson Locksmiths Ltd|02100170|311537|175010|1|64035100|osgb1000002706046464|6|41502147|2|65.7|Culverhouse Cross||Cardiff|South Glamorgan|CF5 6XQ|Bro Morgannwg - the Vale of Glamorgan|02920598456|www.timpsonlocksmiths.co.uk|Timpson|||118 Information|2024-12-01,,,,
163799564|Timpson Locksmiths Ltd|02100170|320385|178018|1|10002521474|osgb1000027291619|10|5801331|3|70.4|Colchester Avenue|Penylan|Cardiff|South Glamorgan|CF23 9XN|Caerdydd - Cardiff|02920493795|www.timpsonlocksmiths.co.uk|Timpson|||118 Information|2024-12-01,,,,
54858928|Any Locks|02100170|316587|179259|1|100100123601|osgb1000027131697|3|5803487|1|12.7|21|Sunnybank Close|Whitchurch, Cardiff|South Glamorgan|CF14 1EQ|Caerdydd - Cardiff|02920615010|||||118 Information|2024-12-01,,,
80821378|Timpson Locksmiths Ltd|02100170|321846|182397|1||osgb1000027324008|10|5803735|3|85.3|Pontprennau||Cardiff|South Glamorgan|CF23 8NL|Caerdydd - Cardiff|02920540097|www.timpsonlocksmiths.co.uk|Timpson|||118 Information|2024-12-01,,,,
54861781|Lock Logic Locksmiths|02100170|324022|181797|1|100100116707|osgb1000027395994|3|5803428|1|11.3|3|Lytham Grove|Trowbridge, Cardiff|South Glamorgan|CF3 0LU|Caerdydd - Cardiff|07920119117|www.locklogic.co.uk||||118 Information|2024-12-01,,,
125849457|Cardiff City Locksmiths|02100170|319444|176421|1|100100067241|osgb1000027254657|3|5800014|1|10.4|15|Adamsdown Square|Adamsdown, Cardiff|South Glamorgan|CF24 0EZ|Caerdydd - Cardiff|07525730373|||||118 Information|2024-12-01,,,
163793341|F E Locksmiths|02100170|316357.2|176598.1|1|10095458621|osgb1000027122679|5|5800521|1|15.1|Flat 236|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1GY|Caerdydd - Cardiff|07723917718|||||118 Information|2024-12-01,,,
54830292|Id Management System|02100170|317470|176653|1|100100891743|osgb1000027175063|7|5800332|1|25.6|14, Cathedral Road|Pontcanna|Cardiff|South Glamorgan|CF11 9LJ|Caerdydd - Cardiff|08004081471|www.idmanagement.com||||118 Information|2024-12-01,,,
145407131|Serene Cremations|02100165|320073|176733|1|10090720975|osgb1000027286084|4|5801802|1|17|27-29|Splott Road|Splott, Cardiff|South Glamorgan|CF24 2BU|Caerdydd - Cardiff|02920002310|||||118 Information|2024-12-01,,,
64401037|Cardiff Lock & Safe Company Ltd|02100170|318893|177796|1|100100896829|osgb1000027220273|4|5800023|1|16.9|37|Albany Road|Roath, Cardiff|South Glamorgan|CF24 3LJ|Caerdydd - Cardiff|02920494992|www.cardifflocksmiths.com||||118 Information|2024-12-01,,,
125865947|South Wales Local Locksmiths|02100170|322006.4|178548.2|1|10023542814|osgb1000002706045355|6|5801157|1|14.3|1 Waterside Business Park|Lamby Way|Trowbridge, Cardiff|South Glamorgan|CF3 2ET|Caerdydd - Cardiff|07961750242|||||118 Information|2024-12-01,,,
165163755|A P Higgs Locksmiths|02100170|322370.2|182592.2|1|10090488787|osgb5000005242994624|1|5805428|1|16.9|52|Rhodfa Lewis|Old St Mellons, Cardiff|South Glamorgan|CF3 6YP|Caerdydd - Cardiff|07748145414|www.aphiggslocksmiths.co.uk||||118 Information|2024-12-01,,,
107651193|Curley Locks Locksmiths|02100170|318142|175446|1|10008902586|osgb1000002067884712|2|5804622|1|41.7|The Big Yellow Storage Company 65|Penarth Road|Butetown, Cardiff|South Glamorgan|CF10 5DL|Caerdydd - Cardiff|02920814184|www.curleylocks.co.uk||||118 Information|2024-12-01,,,
126965205|Auntie Anne's|09470663|318522|176245|1||osgb1000002706067822|11|5802794|3|80.8|Unit Ug 22|Level 1 St Davids Dewisant|Cardiff|South Glamorgan|CF10 2EQ|Caerdydd - Cardiff|02920398862|www.auntieannes.com|Auntie Anne's|||118 Information|2024-12-01,,,,
48001577|Gateway of India|09470665|316065|180987|1|100100893968|osgb5000005200045807|1|5801523|1|15.7|236|Pantbach Road|Rhiwbina, Cardiff|South Glamorgan|CF14 6AG|Caerdydd - Cardiff|02920529029|||||118 Information|2024-12-01,,,
78366106|E Ashton Fishmongers Ltd|09470666|318248.7|176349.2|1|10002521072|osgb1000027219495|5|5801856|1|61.5|Stall 200 Central Market|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff|02920229201|||||118 Information|2024-12-01,,,
48961449|Iceland|09470667|316545.1|176578.7|1|100100914937|osgb1000027120987|6|5800521|1|19.8|194c|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1GW|Caerdydd - Cardiff|02920668407|www.iceland.co.uk|Iceland|||118 Information|2024-12-01,,,
165518676|My Halal Butchers Ltd|09470662|318090|178213|1|100100898277|osgb1000027228295|4|5800547|1|15.3|142|Crwys Road|Cathays, Cardiff|South Glamorgan|CF24 4NR|Caerdydd - Cardiff|02920341180|||||118 Information|2024-12-01,,,
126984818|Thorntons|09470663|319163|177994|1|100100897882|osgb1000027256905|3|5802092|1|19.3|23|Wellfield Road|Roath, Cardiff|South Glamorgan|CF24 3NZ|Caerdydd - Cardiff|02920486263|www.thorntons.com/uk/en/|Thorntons|||118 Information|2024-12-01,,,
48766931|Inmas Continental Stores|09470665|317603|175172|1|10023550904|osgb1000027172860|6|5804621|1|20.1|152|Penarth Road|Grangetown, Cardiff|South Glamorgan|CF11 6NJ|Caerdydd - Cardiff|02920388303|||||118 Information|2024-12-01,,,
167777641|The Chop Shop Cardiff Ltd|09470662|318936|177780|1|100100897879|osgb1000027220505|3|5800023|1|15|38|Albany Road|Roath, Cardiff|South Glamorgan|CF24 3RQ|Caerdydd - Cardiff|02920198699|||||118 Information|2024-12-01,,,
91447348|Benedito's Delicatessen|09470665|320010|176774|1|100101043404|osgb1000027286876|4|5801802|1|17.7|15|Splott Road|Splott, Cardiff|South Glamorgan|CF24 2BU|Caerdydd - Cardiff|02920495070|||||118 Information|2024-12-01,,,
48777258|Pring Family Butchers|09470662|318178|178149|1|100100028151|osgb1000027228135|4|5800547|1|15.1|108|Crwys Road|Cathays, Cardiff|South Glamorgan|CF24 4NQ|Caerdydd - Cardiff|02920396657|||||118 Information|2024-12-01,,,
127720857|Your Choice Halal|09470662|319658.2|177017.3|1|100100896205|osgb1000027258265|4|5800419|1|13.4|11|Clifton Street|Adamsdown, Cardiff|South Glamorgan|CF24 1PX|Caerdydd - Cardiff|02920493333|||||118 Information|2024-12-01,,,
48766348|Bant a la Cart|09470665|316674|177337|1|10013746551|osgb1000027126085|7|5800332|1|16.9|231-231a|Cathedral Road|Pontcanna, Cardiff|South Glamorgan|CF11 9PP|Caerdydd - Cardiff|02920227180|||||118 Information|2024-12-01,,,
96514236|Snails Deli Ltd|09470665|316065.1|181058|1|100100124555|osgb1000027139337|4|5800131|1|14.1|6-8|Beulah Road|Rhiwbina, Cardiff|South Glamorgan|CF14 6LX|Caerdydd - Cardiff|02920620415|||||118 Information|2024-12-01,,,
169512345|Heron Foods|09470667|322395.8|180775.8|1|100101041737|osgb1000027351650|2|5800514|1|12.6|40-46|Countisbury Avenue|Llanrumney, Cardiff|South Glamorgan|CF3 5SL|Caerdydd - Cardiff|03456037300|heronfoods.com/|Heron Foods|||118 Information|2024-12-01,,,
170987977|A & S Griffiths|09470662|318249|176349|1|10002521015|osgb1000027219495|5|5803531|3|41.1|18-24|Central Market|Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff|02920397669|||||118 Information|2024-12-01,,,,
168654381|Juboraj Deli|09470665|319131|174580|1|10013747840|osgb1000002706082880|2|5803575|3|0.3|Unit 1a|Quayside|Cardiff|South Glamorgan|CF10 5BX|Caerdydd - Cardiff|02922803183|||||118 Information|2024-12-01,,,,
129828360|Exotica World Foods|09470662|315840|176681|1|100100914851|osgb1000027075849|4|5800521|1|18.2|366-370|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1HE|Caerdydd - Cardiff|02920223223|||||118 Information|2024-12-01,,,
48772659|Wally's Delicatessen & Kaffeehaus|09470665|318404.3|176177.9|1|10023547247|osgb1000027219557|5|5803284|3|34.4|38-46|Royal Arcade|Cathays, Cardiff|South Glamorgan|CF10 1AE|Caerdydd - Cardiff|02920229265|||||118 Information|2024-12-01,,,
108292508|Iceland|09470667|322362.8|180677.2|1|10002509683|osgb1000027351665|2|5800514|1|11.7|4-6|Countisbury Avenue|Llanrumney, Cardiff|South Glamorgan|CF3 5SJ|Caerdydd - Cardiff|02920797121|www.iceland.co.uk|Iceland|||118 Information|2024-12-01,,,
169512348|Heron Foods|09470667|313857|175758|1|200002938901|osgb1000027005601|5|5800148|3|24.4|Bishopston Road||Cardiff|South Glamorgan|CF5 5DZ|Caerdydd - Cardiff|03456037300|heronfoods.com/|Heron Foods|||118 Information|2024-12-01,,,,
48769372|K Blackmore & Sons|09470662|318248.7|176349.2|1|10002521015|osgb1000027219495|5|5801856|1|61.5|Central Market|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff|02920390401|||||118 Information|2024-12-01,,,
48771615|Pak Butchers|09470662|317674|175296|1|100100890770|osgb1000027173392|5|5800401|1|21.1|156|Clare Road|Grangetown, Cardiff|South Glamorgan|CF11 6RX|Caerdydd - Cardiff|02920667921|||||118 Information|2024-12-01,,,
48774440|Market Deli|09470665|318248.7|176349.2|1|10002521134|osgb1000027219495|5|5801856|1|61.5|Stall 8 to 12 Even Central Market|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff|02920666603|www.marketdeli.co.uk||||118 Information|2024-12-01,,,
48966011|Iceland|09470667|315473|179970|1|200002932689|osgb1000027083659|3|5801372|1|23.6|28-30|Merthyr Road|Whitchurch, Cardiff|South Glamorgan|CF14 1DH|Caerdydd - Cardiff|02920521524|www.iceland.co.uk|Iceland|||118 Information|2024-12-01,,,
48966012|Iceland|09470667|318852.2|177779.7|1|10023543245|osgb1000027219937|5|5800023|1|18.7|23-27|Albany Road|Roath, Cardiff|South Glamorgan|CF24 3LH|Caerdydd - Cardiff|02920499908|www.iceland.co.uk|Iceland|||118 Information|2024-12-01,,,
179353606|Hole in the Wall Butchers|09470662|319710|176846|1|100100895753|osgb1000027252094|8|5801171|1|9.9|12|Lead Street|Adamsdown, Cardiff|South Glamorgan|CF24 0LJ|Caerdydd - Cardiff|02920314587|||||118 Information|2024-12-01,,,
180831975|Nourish Cardiff Ltd|09470665|315451.3|177884.9|1|100100915405|osgb1000027078027|5|5801033|1|13.5|27|High Street|Llandaff, Cardiff|South Glamorgan|CF5 2DY|Caerdydd - Cardiff|02920567466|||||118 Information|2024-12-01,,,
48766747|Gourmet Butchers|09470662|315123|180407|1|100101043078|osgb1000027088703|3|5801540|1|21.1|10|Park Road|Whitchurch, Cardiff|South Glamorgan|CF14 7BQ|Caerdydd - Cardiff|02920616094|||||118 Information|2024-12-01,,,
48794047|Farmfoods Ltd|09470667|314224|176485.1|1|10002525880|osgb1000042999643|5|5802059|3|24.5||Cowbridge Road West|Caerau, Cardiff|South Glamorgan|CF5 5BQ|Caerdydd - Cardiff|01217007160|www.farmfoods.co.uk|Farmfoods|||118 Information|2024-12-01,,,
48795388|The Orchard|09470662|321494|179487|1|100100112647|osgb1000027320870|5|5804620|1|24.9|757|Newport Road|Llanrumney, Cardiff|South Glamorgan|CF3 4AJ|Caerdydd - Cardiff|02920778238|||||118 Information|2024-12-01,,,
48772822|Rees the Family Butcher|09470662|315804|176683|1|100100915024|osgb1000027075208|6|5800521|1|17.6|376|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1JJ|Caerdydd - Cardiff|02920228835|||||118 Information|2024-12-01,,,
48771657|Porkys Family Butchers|09470662|322408|180812|1|100100899231|osgb1000027351647|2|5800514|1|12.1|56|Countisbury Avenue|Llanrumney, Cardiff|South Glamorgan|CF3 5SN|Caerdydd - Cardiff|02920362646|||||118 Information|2024-12-01,,,
48774386|The New York Deli|09470665|318207|176427|1|100100890101|osgb1000027219282|5|5800391|3|41.8|19, High Street Arcade|Cathays|Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff|02920388388|||||118 Information|2024-12-01,,,
123150546|Farmfoods Ltd|09470667|321025.1|181062.4|1|10090717627|osgb1000027296656|9|5801585|1|35.3|Pentwyn Retail Park|Pentwyn Road|Pentwyn, Cardiff|South Glamorgan|CF23 7XH|Caerdydd - Cardiff|01217007160|www.farmfoods.co.uk|Farmfoods|||118 Information|2024-12-01,,,
48767803|Deans Butchers|09470662|318854.3|175261.4|1||osgb5000005132774187|2|5800258|3|24|46, Loudoun Square|Butetown|Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff|02920488244|||||118 Information|2024-12-01,,,
108358391|Hotel Chocolat Ltd|09470663|318447.5|176416.7|1|100101043461|osgb1000027219188|5|5803284|3|106.6|30|St Davids Way|Cathays, Cardiff|South Glamorgan|CF10 2DP|Caerdydd - Cardiff|02920341299|www.hotelchocolat.com/uk|Hotel Chocolat|||118 Information|2024-12-01,,,
159598633|Shahan Halal Foodstores|09470662|317422|176021|1|100100078544|osgb1000027177329|6|5801461|1|13.5|24|Ninian Park Road|Riverside, Cardiff|South Glamorgan|CF11 6JA|Caerdydd - Cardiff|02920399260|||||118 Information|2024-12-01,,,
129846342|Iceland|09470667|320578|177697|1|100101053577|osgb1000027287956|4|5804612|1|569.5|City Link|Newport Road|Adamsdown, Cardiff|South Glamorgan|CF24 1PQ|Caerdydd - Cardiff|02921320433|www.iceland.co.uk|Iceland|||118 Information|2024-12-01,,,
48774853|Al Islah Food|09470662|317668|175983|1|100100891152|osgb1000027171207|4|5801998|1|16.8|52|Tudor Street|Riverside, Cardiff|South Glamorgan|CF11 6AJ|Caerdydd - Cardiff|02920388311|||||118 Information|2024-12-01,,,
161937775|Alnoor Butchers|09470662|317851|175084|1||osgb1000027172148|6|5804344|3|15|52, Corporation Road|Grangetown|Cardiff|South Glamorgan|CF11 7AU|Caerdydd - Cardiff|02920229522|||||118 Information|2024-12-01,,,
48767219|W A Harris|09470662|313677|178155|1|100100088212|osgb1000027014803|3|5801618|1|35.7|62|Plas Mawr Road|Fairwater, Cardiff|South Glamorgan|CF5 3JX|Caerdydd - Cardiff|02920561781|||||118 Information|2024-12-01,,,
95769755|Sahjalal Food|09470662|318680|177902|1|10090718492|osgb1000027220201|4|5801424|1|11.8|41|Moy Road|Roath, Cardiff|South Glamorgan|CF24 4SG|Caerdydd - Cardiff|02920490989|||||118 Information|2024-12-01,,,
161944611|Al Ponte|09470662|316768|177083|1|100100892085|osgb1000027125958|7|5801631|1|15.8|13|Pontcanna Street|Pontcanna, Cardiff|South Glamorgan|CF11 9HQ|Caerdydd - Cardiff|02920668988|||||118 Information|2024-12-01,,,
145400206|Eat Drink Greek Ltd|09470665|318176|178152|1|100100028153|osgb1000027228136|3|5800547|1|16.3|110|Crwys Road|Cathays, Cardiff|South Glamorgan|CF24 4NQ|Caerdydd - Cardiff|02920233477|||||118 Information|2024-12-01,,,
151353354|Iceland|09470667|317678|173954|1|10002523592|osgb1000027167928|8|5800724|1|62.1|Unit G Cardiff Bay Retail Park|Ferry Road|Grangetown, Cardiff|South Glamorgan|CF11 0JR|Caerdydd - Cardiff|02920345365|www.iceland.co.uk|Iceland|||118 Information|2024-12-01,,,
48770178|J T Morgan Butchers Ltd|09470662|318241.4|176335.8|1|10002521015|osgb1000027219495|5|5801856|1|48|Central Market|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff|02920388434|||||118 Information|2024-12-01,,,
160757970|Sakura Cakery|09470661|314735.4|177348.2|1|100100083951|osgb1000027036239|4|5802084|1|20.7|48|Waungron Road|Llandaff, Cardiff|South Glamorgan|CF5 2JL|Caerdydd - Cardiff|07974988988|||||118 Information|2024-12-01,,,
48777488|Stephen's Bakery|09470661|318248.7|176349.2|1|10002521015|osgb1000027219495|5|5801856|1|61.5|Central Market|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff|02920226941|||||118 Information|2024-12-01,,,
48781423|Greggs|09470661|319682|176979|1|100100896335|osgb1000027252590|6|5800419|1|15.7|20|Clifton Street|Adamsdown, Cardiff|South Glamorgan|CF24 1PX|Caerdydd - Cardiff|02920032666|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
85549134|Fabulous Welshcakes|09470661|319116.2|174505.8|1|10002527208|osgb1000041297439|4|5800258|1|49.3|Unit 14 Mermaid Quay|Bute Street|Butetown, Cardiff|South Glamorgan|CF10 5BZ|Caerdydd - Cardiff|02920456593|||||118 Information|2024-12-01,,,
103277681|Greggs|09470661|318262.3|176477.4|1|100101054194|osgb1000027219221|5|5803269|1|21.2|4|St John Street|Cathays, Cardiff|South Glamorgan|CF10 1GJ|Caerdydd - Cardiff|02920032668|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
103277682|Greggs|09470661|318428.5|176139.3|1|10002527409|osgb1000027219039|4|5800318|1|12.8|23|Caroline Street|Cathays, Cardiff|South Glamorgan|CF10 1FG|Caerdydd - Cardiff|02920032662|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
103277686|Greggs|09470661|316404.4|175452.1|1|10023546458|osgb1000002706067677|1|5801174|1|213.9|Pod Unit C Capital Retail Park|Leckwith Road|Canton, Cardiff|South Glamorgan|CF11 8EG|Caerdydd - Cardiff|02920032667|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
103277688|Greggs|09470661|320965.6|178419|1|10023550019|osgb1000002706081719|1|5804600|1|42.2|Unit 7 Avenue Retail Park|Newport Road|Penylan, Cardiff|South Glamorgan|CF23 9FF|Caerdydd - Cardiff|02920032672|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
141908004|Parsons Bakery|09470661|319151|177965|1|100100897364|osgb1000027256911|2|5802092|1|18.8|9|Wellfield Road|Roath, Cardiff|South Glamorgan|CF24 3NZ|Caerdydd - Cardiff|02920464084|www.parsonsbakery.co.uk|Parsons Bakery|||118 Information|2024-12-01,,,
151352229|Greggs|09470661|317178|181062|1|10090487454|osgb1000027189139|3|5802869|1|27.5|Unit 9a Cardiff Industrial Park|Pennine Close|Llanishen, Cardiff|South Glamorgan|CF14 5DN|Caerdydd - Cardiff|02920032690|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
160767632|Greggs|09470661|318176.7|175885.6|1|10008902580|osgb1000027216786|7|5804343|3|115.5||Central Square|Cathays, Cardiff|South Glamorgan|CF10 1EP|Caerdydd - Cardiff|02920032671|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
114124925|Boux Avenue St David's|09460660|318485.6|176239.1|1||osgb1000002706067822|11|5803284|3|64.1|1-3 Grand Arcade|St. Davids Dewi Sant|Cardiff|South Glamorgan|CF10 2ER|Caerdydd - Cardiff|02920232237|www.bouxavenue.com|Boux Avenue|||118 Information|2024-12-01,,,,
48780478|Hot Pantry Ltd|09470661|316679|177335|1|100100891782|osgb1000027126086|7|5800332|1|17.2|229|Cathedral Road|Pontcanna, Cardiff|South Glamorgan|CF11 9PP|Caerdydd - Cardiff|02920228649|||||118 Information|2024-12-01,,,
146514438|Pooja Sweets & Savouries|09470661|318786|177746|1|100100056119|osgb1000027220466|5|5800023|1|14.5|3|Albany Road|Roath, Cardiff|South Glamorgan|CF24 3LH|Caerdydd - Cardiff|02920214987|www.poojasweets.com||||118 Information|2024-12-01,,,
48781915|Millie's Cookies|09470661|318367|176497.9|1||osgb1000027219516|6|5801664|3|35.3|Unit 38b|Queens Arcade|Cathays, Cardiff|South Glamorgan|CF10 2BY|Caerdydd - Cardiff|02920229283|www.milliescookies.com|Millie's Cookies|||118 Information|2024-12-01,,,
126983195|Parsons Bakery|09470661|317671.2|181790.3|1|100100050553|osgb1000027187814|3|5801873|3|15.5|40|Station Road|Llanishen, Cardiff|South Glamorgan|CF14 5LT|Caerdydd - Cardiff|02920765349|www.parsonsbakery.co.uk|Parsons Bakery|||118 Information|2024-12-01,,,
48781424|Greggs|09470661|315483|180036|1|100100892771|osgb1000027089134|4|5801372|1|29.2|19|Merthyr Road|Whitchurch, Cardiff|South Glamorgan|CF14 1DA|Caerdydd - Cardiff|02920032685|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
48780306|Greggs|09470661|312934|176050|1|100100915681|osgb1000026984024|4|5802148|1|14.7|49|Wilson Road|Ely, Cardiff|South Glamorgan|CF5 4LL|Caerdydd - Cardiff|02920032687|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
48780307|Greggs|09470661|313692|176545|1|100100915670|osgb1000027008003|4|5800824|1|18.8|75|Grand Avenue|Ely, Cardiff|South Glamorgan|CF5 4LE|Caerdydd - Cardiff|02920032680|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
85585925|Greggs|09470661|318398|176439|1|100101043649|osgb1000027219587|6|5803284|3|81.7|Unit 5|Town Wall|Cathays, Cardiff|South Glamorgan|CF10 2DQ|Caerdydd - Cardiff|02920032663|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
158328371|Pettigrew Bakeries|09470661|315442|176686|1|100100915025|osgb1000027076427|3|5800521|1|21|595|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1BE|Caerdydd - Cardiff|02921321270|||||118 Information|2024-12-01,,,
85544402|Brutons the Bakers|09470661|317673|175303|1|100100890781|osgb1000027173393|6|5800401|1|21.3|154|Clare Road|Grangetown, Cardiff|South Glamorgan|CF11 6RX|Caerdydd - Cardiff|02920257035|www.brutonsthebakers.co.uk|Brutons|||118 Information|2024-12-01,,,
85623814|Greggs|09470661|318884|177794|1|100100056129|osgb1000027220272|4|5800023|1|18.7|33|Albany Road|Roath, Cardiff|South Glamorgan|CF24 3LJ|Caerdydd - Cardiff|02920032677|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
129120919|Nata & Co|09470661|319707|176875|1|100100896184|osgb1000027252100|6|5800419|1|13.6|118|Clifton Street|Adamsdown, Cardiff|South Glamorgan|CF24 1LW|Caerdydd - Cardiff|07455337053|||||118 Information|2024-12-01,,,
181516973|Greggs|09470661|318215|177175|1|10014197684|osgb1000027224047|9|5801538|1|88.9||Park Place|Cathays, Cardiff|South Glamorgan|CF10 3AT|Caerdydd - Cardiff|02920032660|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
181516975|Greggs|09470661|314989|178974|1|100100893097|osgb1000027037334|12|5801872|1|41.4|14|Station Road|Llandaff North, Cardiff|South Glamorgan|CF14 2FF|Caerdydd - Cardiff|02920032681|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
181516976|Greggs|09470661|317232.2|178421.5|1|10013746983|osgb1000002706023839|3|5804595|1|13.4|Unit 1 Parkfield House|North Road|Mynachdy, Cardiff|South Glamorgan|CF14 3AL|Caerdydd - Cardiff|02920032683|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
181516982|Greggs|09470661|311862|174681|1|64005224|osgb1000002706017821|2|41502468|3|18.8|Brooklands Retail Park|Port Road|Cardiff|South Glamorgan|CF5 6XW|Bro Morgannwg - the Vale of Glamorgan|02920032682|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,,
